Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
25.865484417,1,0,0,0,1,1,0,1
25.865542292,1,0,0,0,1,0,0,1
25.865542833,1,1,0,0,1,0,0,1
25.865597958,1,0,0,0,1,0,0,1
25.865656375,1,1,0,0,1,0,0,1
25.865711542,1,0,0,0,1,0,0,1
25.865769917,1,1,0,0,1,0,0,1
25.865825083,1,0,0,0,1,0,0,1
25.865881958,1,0,0,0,1,1,0,1
25.865883458,1,1,0,0,1,1,0,1
25.865938625,1,0,0,0,1,1,0,1
25.865996500,1,0,0,0,1,0,0,1
25.865997042,1,1,0,0,1,0,0,1
25.866052167,1,0,0,0,1,0,0,1
25.866077750,1,0,0,1,1,0,0,1
25.866078167,1,0,0,1,1,1,0,1
25.866161583,1,0,0,0,1,1,0,1
25.866246292,1,0,0,0,1,0,0,1
25.866336167,1,0,0,0,1,1,0,1
25.866337708,1,1,0,0,1,1,0,1
25.866341583,0,1,0,0,1,1,0,1
25.866392833,0,0,0,0,1,1,0,1
25.866450750,0,0,0,0,1,0,0,1
25.866451250,0,1,0,0,1,0,0,1
25.866506417,0,0,0,0,1,0,0,1
25.866564792,0,1,0,0,1,0,0,1
25.866619958,0,0,0,0,1,0,0,1
25.866678375,0,1,0,0,1,0,0,1
25.866679792,1,1,0,0,1,0,0,1
25.866733500,1,0,0,0,1,0,0,1
25.866791917,1,1,0,0,1,0,0,1
25.866847042,1,0,0,0,1,0,0,1
25.866905458,1,1,0,0,1,0,0,1
25.866960625,1,0,0,0,1,0,0,1
25.867019000,1,1,0,0,1,0,0,1
25.867022917,0,1,0,0,1,0,0,1
25.867074167,0,0,0,0,1,0,0,1
25.867132583,0,1,0,0,1,0,0,1
25.867134000,1,1,0,0,1,0,0,1
25.867187708,1,0,0,0,1,0,0,1
25.867200333,1,0,0,0,1,1,0,1
25.867228250,1,0,0,1,1,1,0,1
25.867318708,1,0,0,0,1,1,0,1
25.867421958,1,0,0,0,1,0,0,1
25.867471708,1,0,0,0,1,1,0,1
25.867473208,1,1,0,0,1,1,0,1
25.867477167,0,1,0,0,1,1,0,1
25.867528375,0,0,0,0,1,1,0,1
25.867586792,0,1,0,0,1,1,0,1
25.867641917,0,0,0,0,1,1,0,1
25.867699833,0,0,0,0,1,0,0,1
25.867700333,0,1,0,0,1,0,0,1
25.867755500,0,0,0,0,1,0,0,1
25.867812375,0,0,0,0,1,1,0,1
25.867813875,0,1,0,0,1,1,0,1
25.867815292,1,1,0,0,1,1,0,1
25.867869042,1,0,0,0,1,1,0,1
25.867926917,1,0,0,0,1,0,0,1
25.867927458,1,1,0,0,1,0,0,1
25.867982583,1,0,0,0,1,0,0,1
25.868039458,1,0,0,0,1,1,0,1
25.868041000,1,1,0,0,1,1,0,1
25.868096167,1,0,0,0,1,1,0,1
25.868154542,1,1,0,0,1,1,0,1
25.868158458,0,1,0,0,1,1,0,1
25.868209708,0,0,0,0,1,1,0,1
25.868267583,0,0,0,0,1,0,0,1
25.868268125,0,1,0,0,1,0,0,1
25.868269542,1,1,0,0,1,0,0,1
25.868323250,1,0,0,0,1,0,0,1
25.868335042,1,0,0,0,1,1,0,1
25.868340833,1,0,0,0,1,0,0,1
25.868349292,1,0,0,1,1,0,0,1
25.868399583,1,0,0,1,1,1,0,1
25.868436833,1,0,0,0,1,1,0,1
25.868526875,1,0,0,0,1,0,0,1
25.868607250,1,0,0,0,1,1,0,1
25.868608750,1,1,0,0,1,1,0,1
25.868612708,0,1,0,0,1,1,0,1
25.868663917,0,0,0,0,1,1,0,1
25.868722292,0,1,0,0,1,1,0,1
25.868777458,0,0,0,0,1,1,0,1
25.868835875,0,1,0,0,1,1,0,1
25.868837292,1,1,0,0,1,1,0,1
25.868891042,1,0,0,0,1,1,0,1
25.868948917,1,0,0,0,1,0,0,1
25.868949417,1,1,0,0,1,0,0,1
25.868953333,0,1,0,0,1,0,0,1
25.869004583,0,0,0,0,1,0,0,1
25.869063000,0,1,0,0,1,0,0,1
25.869064375,1,1,0,0,1,0,0,1
25.869118125,1,0,0,0,1,0,0,1
25.869176542,1,1,0,0,1,0,0,1
25.869180417,0,1,0,0,1,0,0,1
25.869231667,0,0,0,0,1,0,0,1
25.869290083,0,1,0,0,1,0,0,1
25.869345250,0,0,0,0,1,0,0,1
25.869402125,0,0,0,0,1,1,0,1
25.869403625,0,1,0,0,1,1,0,1
25.869405042,1,1,0,0,1,1,0,1
25.869458792,1,0,0,0,1,1,0,1
25.869475625,1,0,0,0,1,0,0,1
25.869485542,1,0,0,1,1,0,0,1
25.869567583,1,0,0,1,1,1,0,1
25.869733667,1,0,0,0,1,1,0,1
25.869857833,1,1,0,0,1,1,0,1
25.869861750,0,1,0,0,1,1,0,1
25.869913000,0,0,0,0,1,1,0,1
25.869971417,0,1,0,0,1,1,0,1
25.869972833,1,1,0,0,1,1,0,1
25.870026542,1,0,0,0,1,1,0,1
25.870084958,1,1,0,0,1,1,0,1
25.870140125,1,0,0,0,1,1,0,1
25.870198000,1,0,0,0,1,0,0,1
25.870198500,1,1,0,0,1,0,0,1
25.870253667,1,0,0,0,1,0,0,1
25.870312083,1,1,0,0,1,0,0,1
25.870367208,1,0,0,0,1,0,0,1
25.870425625,1,1,0,0,1,0,0,1
25.870480750,1,0,0,0,1,0,0,1
25.870537667,1,0,0,0,1,1,0,1
25.870539167,1,1,0,0,1,1,0,1
25.870594333,1,0,0,0,1,1,0,1
25.870652208,1,0,0,0,1,0,0,1
25.870652750,1,1,0,0,1,0,0,1
25.870707875,1,0,0,0,1,0,0,1
25.870720708,1,0,0,0,1,1,0,1
25.870726458,1,0,0,0,1,0,0,1
25.870746208,1,0,0,1,1,0,0,1
25.870769417,1,0,0,1,1,1,0,1
25.870830042,1,0,0,0,1,1,0,1
25.870914125,1,0,0,0,1,0,0,1
25.870991875,1,0,0,0,1,1,0,1
25.870993375,1,1,0,0,1,1,0,1
25.870997292,0,1,0,0,1,1,0,1
25.871048542,0,0,0,0,1,1,0,1
25.871106417,0,0,0,0,1,0,0,1
25.871106958,0,1,0,0,1,0,0,1
25.871162083,0,0,0,0,1,0,0,1
25.871220500,0,1,0,0,1,0,0,1
25.871275625,0,0,0,0,1,0,0,1
25.871334042,0,1,0,0,1,0,0,1
